status,orderId,open_date,open_price,side,size,sl,tp,fee,order_comment,close_id,close_date,close_price,order_profit,zone,balance,available,zone_profit
close,4088092288,26/04/2021 06:11,0.45696,LONG,17,,,0.006215492,open:-0.71995 sys0:[0.45715] | close:-0.71558 sys0:[0.45672],4088142329,26/04/2021 06:15,0.45669,-0.010805492,-0.72,1013.859207,939.7724023,0.010004492
close,13014754251,26/04/2021 06:11,1.1768,SHORT,6.8,,,0.006390016,open:-0.71995 sys1:[1.1771] | close:-0.71558 sys1:[1.1723],13014988084,26/04/2021 06:15,1.1728,0.020809984,-0.72,1013.735377,947.716552,0.010004492
close,4088072114,26/04/2021 06:09,0.45591,LONG,18,,,0.00658336,open:-0.70992 sys0:[0.45598] | close:-0.70967 sys0:[0.45883],4088210282,26/04/2021 06:22,0.4588,0.04543664,-0.71,1013.789694,956.1660551,0.021741856
close,13014647704,26/04/2021 06:09,1.1659,SHORT,6.9,,,0.006444784,open:-0.70992 sys1:[1.1659] | close:-0.70967 sys1:[1.1685],13015225109,26/04/2021 06:22,1.1684,-0.023694784,-0.71,1013.694415,964.2716048,0.021741856
close,4088416689,26/04/2021 06:41,0.45987,LONG,17,,,0.006254124,open:-0.72995 sys0:[0.46005] | close:-0.72536 sys0:[0.45944],4088423911,26/04/2021 06:41,0.45943,-0.013734124,-0.73,1013.705182,923.6970116,0.01138954
close,13016007426,26/04/2021 06:41,1.1899,SHORT,6.7,,,0.006366336,open:-0.72995 sys1:[1.19] | close:-0.72536 sys1:[1.1848],13016039873,26/04/2021 06:41,1.1852,0.025123664,-0.73,1013.576962,931.6639397,0.01138954
close,4088552498,26/04/2021 06:54,0.45997,LONG,17,,,0.006255212,open:-0.73993 sys0:[0.45997] | close:-0.73532 sys0:[0.45988],4088625688,26/04/2021 07:00,0.45959,-0.012715212,-0.74,1013.583834,907.0923839,0.008341384
close,13016643217,26/04/2021 06:54,1.1994,SHORT,6.7,,,0.006413404,open:-0.73993 sys1:[1.1999] | close:-0.73532 sys1:[1.1952],13016988527,26/04/2021 07:00,1.1953,0.021056596,-0.74,1013.440967,915.0977225,0.008341384
close,4088443303,26/04/2021 06:43,0.46047,LONG,17,,,0.006195644,open:-0.72991 sys0:[0.46039] | close:-0.71149 sys0:[0.45101],4088840610,26/04/2021 07:18,0.45083,-0.170075644,-0.73,1013.311643,925.4596679,-0.000175432
close,13016132439,26/04/2021 06:43,1.1904,SHORT,6.7,,,0.006309788,open:-0.72991 sys1:[1.1903] | close:-0.71149 sys1:[1.1625],13017781361,26/04/2021 07:18,1.1641,0.169900212,-0.73,1013.3779,933.1798309,-0.000175432
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,qt,oprice,cprice,amt,,ofee,cfee,fee,,,,,,,,,
LONG,17,0.45997,0.45959,-0.00038,-0.00646,0.00312779,0.00312521,0.006253,,-0.012713,,,,,,,
SHORT,6.7,1.1994,1.1953,0.0041,0.02747,0.00319027,0.0032034,0.00639367,,0.02107633,0.00836333,,,,,,
,,,,,,,,,,,,,,,,,
,,0,-0.13966305,,,,,,,,,,,,,,
,,0.02266103,-0.12625896,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,fee,fee,profit,,profit,,,,,,,
13:41,o,long,0.45987,6.7,,0.00312711,,,,0,,,,,,,
13:41:47,c,long,0.45943,-0.00044,-0.002948,0.00312412,0.00625123,-0.00919923,,0.03283439,,,,,,,
13:41:09,o,short,1.1899,17,,0.00318893,,,,0,,,,,,,
13:41:47,c,short,1.1852,0.0047,0.0799,0.00317633,0.00636526,0.07353474,0.06433551,-0.12504429,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,-0.11867903,,,,,,,
